live_id,species,content,label,background
glambycandy,Apparel & Footwear,Would it make my fupa look big since almost all jeans make it it loook weird,1,"The user is concerned about whether the jeans will flatter their body shape, particularly around the stomach area, based on past negative experiences with other jeans."
glambycandy,Apparel & Footwear,what faja do you recommend for dresses?,1,"The user is asking for recommendations on shapewear (faja) that complements dresses, likely seeking a flattering fit similar to their concern about jeans accentuating their stomach."
glambycandy,Apparel & Footwear,im a size 8 in jeans what size you recomend?,1,"The user is asking for a size recommendation in the brand's jeans, likely comparing to their usual size 8 and seeking fit advice similar to the previous discussion on clothing fit concerns."
glambycandy,Apparel & Footwear,something that helps with csection,1,"The user is likely asking for postpartum recovery products suitable after a C-section, possibly seeking shapewear or supportive garments based on previous sizing/fit discussions."
glambycandy,Apparel & Footwear,Im a size 5,0,The user is indicating their clothing size to seek a product recommendation that fits them.
glambycandy,Apparel & Footwear,What size for a size 14 in jeans,1,The user is asking for the equivalent size recommendation in the brand's jeans for someone who typically wears a size 14.
glambycandy,Apparel & Footwear,for size 8 jeans?,1,The user is inquiring about the availability or fit of jeans in size 8 based on previous sizing discussions in the chat.
glambycandy,Apparel & Footwear,im a size 3,0,The user is indicating their clothing size to seek a product recommendation that fits them.
glambycandy,Apparel & Footwear,Put the body suit on sale,0,The user is likely requesting a discount on the bodysuit after seeing others inquire about sizing and recommendations for similar clothing items.
glambycandy,Apparel & Footwear,My Jeans are size 9,0,The user is likely inquiring about size compatibility or product recommendations by stating their current jeans size for reference.
glambycandy,Apparel & Footwear,Like up for a giveaway guys,0,"The user is encouraging others to engage with the stream to increase participation in a potential giveaway, unrelated to product inquiries."
glambycandy,Apparel & Footwear,What gloss are you wearing Nikki???,0,"The user is asking Nikki about the specific lip gloss she's using, showing interest in purchasing the same product."
glambycandy,Apparel & Footwear,3月4日,0,The user is likely asking about the release date or availability of a product mentioned earlier in the stream.
glambycandy,Apparel & Footwear,what about dresses?,1,"The user is likely inquiring about dress recommendations or sizing advice, following the trend of previous questions about clothing fit and styles."
glambycandy,Apparel & Footwear,Bye Nikki! take care,0,"The user is likely a viewer saying a friendly goodbye to the host Nikki after engaging in product-related discussions, showing no direct purchase intent."
glambycandy,Apparel & Footwear,bye Nikki,0,The user is likely expressing a friendly farewell to the host Nikki at the end of the livestream.
glambycandy,Apparel & Footwear,7月9日,0,The user is likely asking if a specific product mentioned earlier will be available or restocked on July 9th.
glambycandy,Apparel & Footwear,Size 12?,0,"The user is likely asking if the product is available in size 12, possibly referring to clothing or shoes based on previous sizing discussions."
glambycandy,Apparel & Footwear,beautiful,0,"The user likely compliments the product's appearance, possibly reacting to a visual showcase or answering a question about aesthetics."
glambycandy,Apparel & Footwear,Are you wearing a medium?,1,The user is likely asking about the model's clothing size to determine if a medium would fit them based on their own measurements.
glambycandy,Apparel & Footwear,What size are you wearing?,1,The user is likely asking about the model's clothing size to compare or determine their own fit for the same item.
glambycandy,Apparel & Footwear,What would you recommend if i have love handles?,1,"The user is asking for product recommendations to address love handles, likely seeking shapewear or slimming apparel based on the context of sizing and garment-focused queries."
glambycandy,Apparel & Footwear,do they roll down I have lonjas lol,0,"The user is likely asking if the clothing item (possibly pants) can accommodate their body shape by inquiring ""Do these fit comfortably for someone with curves?"" based on previous size-related discussions."
glambycandy,Apparel & Footwear,Weight 135,0,"The user is likely asking about the appropriate clothing size for someone who weighs 135 pounds, similar to previous size-related inquiries in the chat."
glambycandy,Apparel & Footwear,Jean size 13,0,The user is likely inquiring if the jeans are available in their size (13) or asking for styling advice for that size.
