live_id,species,content,label,background
shapellxofficial,Apparel & Footwear,What size u wearing,1,"The user is asking about the size of the product the host is currently wearing or demonstrating, likely to determine their own fit preference."
shapellxofficial,Apparel & Footwear,Qué colores están disponibles?,1,"The user is asking about the available color options for the product, likely showing purchase interest after seeing the previous size-related question."
shapellxofficial,Apparel & Footwear,yes,0,"The user likely means ""Yes, I'm interested in purchasing, please provide details about size or color options."""
shapellxofficial,Apparel & Footwear,I just try to check out to the price is not the same,0,The user is confused because the checkout price differs from what was displayed or expected during the live stream.
shapellxofficial,Apparel & Footwear,37.90 para mi,0,The user is likely asking if the price shown (37.90) applies to them or inquiring about purchasing at that price.
shapellxofficial,Apparel & Footwear,hay cupones disponibles,0,The user is asking if there are any discount coupons available for the product being discussed.
shapellxofficial,Apparel & Footwear,Does it have lace like yours?,1,"The user is asking if the product features lace details similar to what the host is wearing, indicating interest in its design."
shapellxofficial,Apparel & Footwear,gracias mamí,0,"The user is likely expressing gratitude and interest in purchasing, possibly addressing the host affectionately as ""mom"" in a friendly manner."
shapellxofficial,Apparel & Footwear,What size are you wearing?,1,The user is likely inquiring about the size of the product being showcased to determine if it would fit them or match their preferences.
shapellxofficial,Apparel & Footwear,it says 37$,0,"The user is confirming or questioning the displayed price of $37 for the item, likely comparing it to another mentioned price or seeking clarity."
shapellxofficial,Apparel & Footwear,The price is 77,0,"The user is likely expressing surprise or confusion about the price discrepancy, possibly comparing it to the previously mentioned ""$37"" or checking if the current price is correct."
shapellxofficial,Apparel & Footwear,I just got it,0,The user likely means they have successfully purchased or received the item mentioned earlier in the chat.
shapellxofficial,Apparel & Footwear,faja,0,"The user is likely asking about the price or confirming the cost of the product mentioned earlier as ""$37"" and ""$77."""
shapellxofficial,Apparel & Footwear,How do we adjust the shorts like thing in the front? I hate that it shows through the suit,0,"The user is asking how to adjust the front part of the garment (likely a shapewear or suit) to prevent it from showing through, expressing frustration with its current visibility."
shapellxofficial,Apparel & Footwear,What size are u wearing??????,0,"The user is asking about the model's clothing size to determine their own fit, showing purchase intent for the same item."
shapellxofficial,Apparel & Footwear,hay disponible,0,The user is asking if the product is currently available in stock.
shapellxofficial,Apparel & Footwear,si hay,0,"The user is likely asking ""Is it available?"" in Spanish, inquiring about the product's stock status based on previous questions about availability and sizes."
shapellxofficial,Apparel & Footwear,I have one and love it. great price,0,"The user is expressing satisfaction with their purchase, confirming the product's quality and value, likely to encourage others to buy."
shapellxofficial,Apparel & Footwear,"Check yellow shopping bag, ALL ON SALE!!",0,"The user is excitedly pointing out a yellow shopping bag promotion, emphasizing that all items are currently discounted."
shapellxofficial,Apparel & Footwear,What size are you using?,1,The user is asking about the size of the product the host is wearing to determine their own purchase choice.
shapellxofficial,Apparel & Footwear,can you show me #12,1,"The user is requesting to see product number 12 displayed in the live stream, likely interested in its details or appearance."
shapellxofficial,Apparel & Footwear,que numero,1,"The user is likely asking about the available size or product number, possibly referring to a specific item mentioned earlier in the chat."
shapellxofficial,Apparel & Footwear,Im 5'6 240lb 10 size pants,0,The user is likely indicating their body measurements to ask for size recommendations or confirm if the product would fit them.
shapellxofficial,Apparel & Footwear,my prices are 77,0,"The user is likely confirming or comparing the product price mentioned earlier (""The price is 77"") with their own understanding or checkout amount."
shapellxofficial,Apparel & Footwear,what size are you?,1,The user is asking about the size of the product the host is wearing or using to gauge its fit for themselves.
shapellxofficial,Apparel & Footwear,yes 16-18,0,The user is likely confirming their size preference (16-18) in response to previous inquiries about sizing and availability.
shapellxofficial,Apparel & Footwear,What size u wearing ?,0,The user is asking about the size of the product the host is wearing to determine if it would fit them.
shapellxofficial,Apparel & Footwear,I wear 2xl-3xl,0,"The user is indicating their size preference to check if the product would fit them, likely in response to previous questions about sizing."
shapellxofficial,Apparel & Footwear,You look gorgeous,0,"The user is complimenting the host's appearance to engage positively, possibly showing interest in the product being showcased."
shapellxofficial,Apparel & Footwear,175 5.2,0,The user is likely asking for size recommendations by stating their height (175cm) and weight (5.2 stone).
shapellxofficial,Apparel & Footwear,The price has increased,0,The user is likely expressing surprise or dissatisfaction that the current price is higher than the previously mentioned $77 they or others paid.
shapellxofficial,Apparel & Footwear,size what,1,"The user is likely asking about the size of the product being shown or worn by the host, possibly seeking a sizing reference for their own purchase."
