live_id,species,user_id,user_name,gender,time,content,label
mollymayfashion,Apparel & Footwear,unknown,Bucka Doodle,unknown,2025/4/11 14:01,can you show me the purple version of your outfit?,1
mollymayfashion,Apparel & Footwear,unknown,Mariposa bella,unknown,2025/4/11 14:01,Im very small on top,0
mollymayfashion,Apparel & Footwear,unknown,Chocolate Angel,unknown,2025/4/11 14:01,"I have the green, pink, and orange",0
mollymayfashion,Apparel & Footwear,unknown,Amanda Richmond,unknown,2025/4/11 14:01,Well Ty,0
mollymayfashion,Apparel & Footwear,unknown,Mariposa bella,unknown,2025/4/11 14:01,Small,1
mollymayfashion,Apparel & Footwear,unknown,Jacqueline,unknown,2025/4/11 14:01,Scrolling and heard the song,0
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,can you show  71,1
mollymayfashion,Apparel & Footwear,unknown,Perla Orosco,unknown,2025/4/11 14:01,Just purchased 2 dresses! Thank you again,0
mollymayfashion,Apparel & Footwear,unknown,Hannah SAHM,unknown,2025/4/11 14:01,Just made my order!,0
mollymayfashion,Apparel & Footwear,unknown,Kycomfort,unknown,2025/4/11 14:01,Not gonna make it have to find something else to go in cart,0
mollymayfashion,Apparel & Footwear,unknown,user7469769339966,unknown,2025/4/11 14:01,Do they have stretch.,1
mollymayfashion,Apparel & Footwear,unknown,txdollyfit,unknown,2025/4/11 14:01,Does the dress run true to size?,1
mollymayfashion,Apparel & Footwear,unknown,Roxi,unknown,2025/4/11 14:01,Luv ur dress,1
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,I got two dresses and the neckless your wearing... plus the chunky gold bracelets!,0
mollymayfashion,Apparel & Footwear,unknown,Roxi,unknown,2025/4/11 14:01,I need it,1
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,lol,0
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,the whole look,1
mollymayfashion,Apparel & Footwear,unknown,Roxi,unknown,2025/4/11 14:01,I love! Long long dresses makes me feel like a princess,1
mollymayfashion,Apparel & Footwear,unknown,Taylor Nicole Sickler,unknown,2025/4/11 14:01,Is it true to size?,1
mollymayfashion,Apparel & Footwear,unknown,morticiaa26,unknown,2025/4/11 14:01,can you try on #1 please,1
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,where is shipping coming from,0
mollymayfashion,Apparel & Footwear,unknown,Highmae Ink,unknown,2025/4/11 14:01,Can you hit the uptown downtown for us in this one?,1
mollymayfashion,Apparel & Footwear,unknown,Cecelia Jo Buell,unknown,2025/4/11 14:01,Did you say size down,1
mollymayfashion,Apparel & Footwear,unknown,  ,unknown,2025/4/11 14:01,LOOKS GREAT ON MY MIDSIZE FRAME!!,0
mollymayfashion,Apparel & Footwear,unknown,Cecelia Jo Buell,unknown,2025/4/11 14:01,What size are you wearing,1
mollymayfashion,Apparel & Footwear,unknown,Livin_on_a_lyric,unknown,2025/4/11 14:01,Are you wearing the green one?,1
mollymayfashion,Apparel & Footwear,unknown,Kycomfort,unknown,2025/4/11 14:01,"Losing weight so not sure, 14 in pants some large some ex large in tops",1
mollymayfashion,Apparel & Footwear,unknown,Perla Orosco,unknown,2025/4/11 14:01,Thank you!,0
mollymayfashion,Apparel & Footwear,unknown,Hannah SAHM,unknown,2025/4/11 14:01,Okay thank you!,0
mollymayfashion,Apparel & Footwear,unknown, Chasadie  ,unknown,2025/4/11 14:01,I have the black dress I wore on my last cruise & I agree with everything your saying size wise,0
mollymayfashion,Apparel & Footwear,unknown,something nice,unknown,2025/4/11 14:01,"Last round flash sale for today, take some what you like with lower price",0
mollymayfashion,Apparel & Footwear,unknown,L0lis,unknown,2025/4/11 14:01,I ore,0
mollymayfashion,Apparel & Footwear,unknown,MiMi,unknown,2025/4/11 14:01,nope still says sold out #3,0
mollymayfashion,Apparel & Footwear,unknown,something nice,unknown,2025/4/11 14:01,Sure,0
mollymayfashion,Apparel & Footwear,unknown,MiMi,unknown,2025/4/11 14:01,yes,0
mollymayfashion,Apparel & Footwear,unknown,MiMi,unknown,2025/4/11 14:01,yup ok! thanks,0
mollymayfashion,Apparel & Footwear,unknown,chloeb.025,unknown,2025/4/11 14:01,those are so cute i wish i saw this earlier i go on my cruise tomorrow,0
mollymayfashion,Apparel & Footwear,unknown,JellyAldapa,unknown,2025/4/11 14:01,5'4 138lbs 32DDD,0
mollymayfashion,Apparel & Footwear,unknown,Gulf Coast Sass and Sparkle,unknown,2025/4/11 14:01,I was so sad.,0
mollymayfashion,Apparel & Footwear,unknown,USRN Srijana Shrestha,unknown,2025/4/11 14:01,What about for short height 5 feet tall?,1
mollymayfashion,Apparel & Footwear,unknown,JellyAldapa,unknown,2025/4/11 14:01,can you show the blue one,1
mollymayfashion,Apparel & Footwear,unknown,Cecelia Jo Buell,unknown,2025/4/11 14:01,Can I see 8,1
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,love the green one,1
mollymayfashion,Apparel & Footwear,unknown,Beautiful_Blue_Eyes,unknown,2025/4/11 14:01,190 5ft5,1
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,16-18,0
mollymayfashion,Apparel & Footwear,unknown,DebbieFlores,unknown,2025/4/11 14:01,34g,0
mollymayfashion,Apparel & Footwear,unknown,ик,unknown,2025/4/11 14:01,There are flexibles???,1
mollymayfashion,Apparel & Footwear,unknown,ик,unknown,2025/4/11 14:01,Ow wooww,0
mollymayfashion,Apparel & Footwear,unknown,MIAmiaGX1965,unknown,2025/4/11 14:01,#86 in cart?,1
mollymayfashion,Apparel & Footwear,unknown,MIAmiaGX1965,unknown,2025/4/11 14:01,SORRY #87,0
mollymayfashion,Apparel & Footwear,unknown,Alisha,unknown,2025/4/11 14:01,Do you need to wear something under it while walking around outside? Is it see-through? lol,1
mollymayfashion,Apparel & Footwear,unknown,Aide Aguilar,unknown,2025/4/11 14:01,can I see 7 on that dress,1
mollymayfashion,Apparel & Footwear,unknown, Sahvanna  ,unknown,2025/4/11 14:01,Just bought 3 size large hopefully it will fit,0
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,the dress you're wearing,1
mollymayfashion,Apparel & Footwear,unknown, Sahvanna  ,unknown,2025/4/11 14:01,Just bought 3,0
mollymayfashion,Apparel & Footwear,unknown,stephaniechristin37,unknown,2025/4/11 14:01,what does the back look like,1
mollymayfashion,Apparel & Footwear,unknown,something nice,unknown,2025/4/11 14:01,Cute,0
mollymayfashion,Apparel & Footwear,unknown,Courtney,unknown,2025/4/11 14:01,I ordered a medium,0
mollymayfashion,Apparel & Footwear,unknown,Tammy Jo,unknown,2025/4/11 14:01,Wanted to order but will not get in time for my cruise,0
mollymayfashion,Apparel & Footwear,unknown,Tammy Jo,unknown,2025/4/11 14:01,We leave on the 18th,0
